호선,역명,지역(시),지역(구),지역(동),지가,지역(시),지역(구),지역(로),면적(㎡),카테고리,임대료,,
8호선,가락시장역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,송파대로,24.61,식품제과,"2,833,330",,
3호선,가락시장역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,송파대로,21,소매업,"3,519,900",,
8호선,가락시장역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,송파대로,33,편의점,"7,167,277",,
8호선,가락시장역,서울특별시,송파구,가락동,5233672.496,서울특별시,송파구,송파대로,30.44,화장품,"12,768,731",,
7호선,가산디지털단지역,서울특별시,금천구,가산동,5233672.496,서울특별시,금천구,벚꽃로,30,화장품,"3,775,052",,
7호선,가산디지털단지역,서울특별시,금천구,가산동,5233672.496,서울특별시,금천구,벚꽃로,39,화장품,"4,907,567",,
7호선,가산디지털단지역,서울특별시,금천구,가산동,5233672.496,서울특별시,금천구,벚꽃로,34,식품제과,"7,512,000",,
7호선,가산디지털단지역,서울특별시,금천구,가산동,5233672.496,서울특별시,금천구,벚꽃로,35.8,편의점,"13,038,740",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,9.2,의류잡화,"930,998",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,36,식품제과,"3,031,199",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,36,의류잡화,"3,031,199",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,30,화장품,"3,390,728",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,41,화장품,"5,082,993",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,41,의류잡화,"5,082,993",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,73.3,화장품,"5,610,000",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,55,식당,"6,216,335",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,63.8,편의점,"14,113,220",,
7호선,강남구청역,서울특별시,강남구,삼성동,9496628.221,서울특별시,강남구,학동로,472,카페,"16,834,400",,
2호선,강남역,서울특별시,강남구,역삼동,9574575.456,서울특별시,강남구,강남대로,13.3,카페,"6,889,683",,
2호선,강남역,서울특별시,강남구,역삼동,9574575.456,서울특별시,강남구,강남대로,20.3,소매업,"10,063,851",,
2호선,강남역,서울특별시,강남구,역삼동,9574575.456,서울특별시,강남구,강남대로,12.99,의류잡화,"10,961,471",,
2호선,강남역,서울특별시,강남구,역삼동,9574575.456,서울특별시,강남구,강남대로,26.55,화장품,"26,510,100",,
2호선,강남역,서울특별시,강남구,역삼동,9574575.456,서울특별시,강남구,강남대로,35.5,화장품,"33,961,005",,
8호선,강동구청역,서울특별시,강동구,성내동,3853370.823,서울특별시,강동구,올림픽로,30,편의점,"8,849,507",,
