역명,지역(구),지역(동),지가,면적(㎡),카테고리,임대료,승객 수
논현역,강남구,논현동,7357435.828,75,소매업,4036950,8905495
학동역,강남구,논현동,7357435.828,16,식당,3001858,23578067
논현역,강남구,논현동,7357435.828,25,식품제과,2133410,33448476
논현역,강남구,논현동,7357435.828,33,식품제과,2816102,33448476
논현역,강남구,논현동,7357435.828,29.92,식품제과,5482433,8905495
논현역,강남구,논현동,7357435.828,63.44,식품제과,8910000,5140392
학동역,강남구,논현동,7357435.828,68.55,식품제과,4780000,11734985
학동역,강남구,논현동,7357435.828,17.54,식품제과,6470000,11734985
학동역,강남구,논현동,7357435.828,44,식품제과,10241610,10925606
학동역,강남구,논현동,7357435.828,51,식품제과,12308280,10925606
논현역,강남구,논현동,7357435.828,46,의류잡화,2475996,33448476
논현역,강남구,논현동,7357435.828,37.8,의류잡화,3530000,33448476
논현역,강남구,논현동,7357435.828,35,의류잡화,3713581,33448476
논현역,강남구,논현동,7357435.828,23,의류잡화,3720000,33448476
논현역,강남구,논현동,7357435.828,57.7,의류잡화,5189834,8905495
논현역,강남구,논현동,7357435.828,30,의류잡화,6820000,8905495
학동역,강남구,논현동,7357435.828,16.4,의류잡화,2830000,6427063
학동역,강남구,논현동,7357435.828,31.39,의류잡화,3539231,23578067
학동역,강남구,논현동,7357435.828,41,의류잡화,8679210,10925606
논현역,강남구,논현동,7357435.828,29,카페,2022349,33448476
학동역,강남구,논현동,7357435.828,25,카페,6033471,11734985
논현역,강남구,논현동,7357435.828,44.65,편의점,10937960,14535273
학동역,강남구,논현동,7357435.828,55.45,편의점,13479950,10925606
논현역,강남구,논현동,7357435.828,50,화장품,3931054,8905495
논현역,강남구,논현동,7357435.828,50,화장품,3931054,8905495
학동역,강남구,논현동,7357435.828,21,화장품,4445449,23578067
학동역,강남구,논현동,7357435.828,41,화장품,8679210,10925606
학동역,강남구,논현동,7357435.828,42,화장품,8890898,10925606
학여울역,강남구,대치동,8708890.535,3938.2,식당,61100000,10925606
매봉역,강남구,도곡동,6423487.039,15.77,식당,2360800,8549444
도곡역,강남구,도곡동,6423487.039,25.04,식품제과,1024800,29796363
매봉역,강남구,도곡동,6423487.039,9.41,식품제과,251020,8549444
도곡역,강남구,도곡동,6423487.039,21.9,의류잡화,873400,29796363
도곡역,강남구,도곡동,6423487.039,23.18,의류잡화,1350000,29796363
매봉역,강남구,도곡동,6423487.039,16,편의점,2421000,4487588
매봉역,강남구,도곡동,6423487.039,26,화장품,3030000,3790871
선릉역,강남구,삼성동,9496628.221,18.48,소매업,3558605,75123
선릉역,강남구,삼성동,9496628.221,19,소매업,3658738,75123
선릉역,강남구,삼성동,9496628.221,20,소매업,3851304,75123
선릉역,강남구,삼성동,9496628.221,20,소매업,3851304,75123
선릉역,강남구,삼성동,9496628.221,24.1,소매업,4640821,16619311
선릉역,강남구,삼성동,9496628.221,34.46,소매업,6635797,16619311
선릉역,강남구,삼성동,9496628.221,18.3,소매업,9770951,9799670
강남구청역,강남구,삼성동,9496628.221,55,식당,6216335,11153211
강남구청역,강남구,삼성동,9496628.221,36,식품제과,3031199,11153211
강남구청역,강남구,삼성동,9496628.221,9.2,의류잡화,930998,11153211
강남구청역,강남구,삼성동,9496628.221,36,의류잡화,3031199,11153211
강남구청역,강남구,삼성동,9496628.221,41,의류잡화,5082993,11153211
선릉역,강남구,삼성동,9496628.221,16,의류잡화,4567000,16619311
선릉역,강남구,삼성동,9496628.221,19.48,의류잡화,6733300,16619311
선릉역,강남구,삼성동,9496628.221,20.21,의류잡화,8286429,16619311
강남구청역,강남구,삼성동,9496628.221,472,카페,16834400,11153211
선릉역,강남구,삼성동,9496628.221,16,카페,6766430,16619311
선릉역,강남구,삼성동,9496628.221,13,카페,8923786,9799670
강남구청역,강남구,삼성동,9496628.221,63.8,편의점,14113220,11153211
강남구청역,강남구,삼성동,9496628.221,30,화장품,3390728,11153211
강남구청역,강남구,삼성동,9496628.221,41,화장품,5082993,11153211
강남구청역,강남구,삼성동,9496628.221,73.3,화장품,5610000,11153211
삼성역,강남구,삼성동,9496628.221,37.83,화장품,13684355,53081616
선릉역,강남구,삼성동,9496628.221,24.34,화장품,10550000,9799670
