,호선,역명,지역(시),지역(구),지역(동),지역(로),면적(㎡),카테고리,임대료,승객 수
0,8호선,가락시장역,서울특별시,송파구,가락동,송파대로,24.61,식품제과,"2,833,330",13266465.0
1,3호선,가락시장역,서울특별시,송파구,가락동,송파대로,21.0,소매업,"3,519,900",13266465.0
2,8호선,가락시장역,서울특별시,송파구,가락동,송파대로,33.0,편의점,"7,167,277",13266465.0
3,8호선,가락시장역,서울특별시,송파구,가락동,송파대로,30.44,화장품,"12,768,731",13266465.0
4,7호선,가산디지털단지역,서울특별시,금천구,가산동,벚꽃로,30.0,화장품,"3,775,052",28369785.0
5,7호선,가산디지털단지역,서울특별시,금천구,가산동,벚꽃로,39.0,화장품,"4,907,567",28369785.0
6,7호선,가산디지털단지역,서울특별시,금천구,가산동,벚꽃로,34.0,식품제과,"7,512,000",28369785.0
7,7호선,가산디지털단지역,서울특별시,금천구,가산동,벚꽃로,35.8,편의점,"13,038,740",28369785.0
8,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,9.2,의류잡화,"930,998",11153211.0
9,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,36.0,식품제과,"3,031,199",11153211.0
10,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,36.0,의류잡화,"3,031,199",11153211.0
11,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,30.0,화장품,"3,390,728",11153211.0
12,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,41.0,화장품,"5,082,993",11153211.0
13,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,41.0,의류잡화,"5,082,993",11153211.0
14,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,73.3,화장품,"5,610,000",11153211.0
15,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,55.0,식당,"6,216,335",11153211.0
16,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,63.8,편의점,"14,113,220",11153211.0
17,7호선,강남구청역,서울특별시,강남구,삼성동,학동로,472.0,카페,"16,834,400",11153211.0
18,2호선,강남역,서울특별시,강남구,역삼동,강남대로,13.3,카페,"6,889,683",74509854.0
19,2호선,강남역,서울특별시,강남구,역삼동,강남대로,20.3,소매업,"10,063,851",74509854.0
20,2호선,강남역,서울특별시,강남구,역삼동,강남대로,12.99,의류잡화,"10,961,471",74509854.0
21,2호선,강남역,서울특별시,강남구,역삼동,강남대로,26.55,화장품,"26,510,100",74509854.0
22,2호선,강남역,서울특별시,강남구,역삼동,강남대로,35.5,화장품,"33,961,005",74509854.0
23,8호선,강동구청역,서울특별시,강동구,성내동,올림픽로,30.0,편의점,"8,849,507",7951472.0
24,8호선,강동구청역,서울특별시,강동구,성내동,올림픽로,36.96,화장품,"9,338,262",7951472.0
25,5호선,강동역,서울특별시,강동구,천호동,천호대로,15.0,의류잡화,"2,200,012",13678811.0
26,5호선,강동역,서울특별시,강동구,천호동,천호대로,24.44,식품제과,"2,877,000",13678811.0
27,5호선,강동역,서울특별시,강동구,천호동,천호대로,57.26,편의점,"10,222,861",13678811.0
28,5호선,강동역,서울특별시,강동구,천호동,천호대로,81.6,식품제과,"14,919,520",13678811.0
29,2호선,강변역,서울특별시,광진구,구의동,강변역로,11.2,카페,"5,041,319",33862924.0
30,2호선,강변역,서울특별시,광진구,구의동,강변역로,41.0,편의점,"15,310,500",33862924.0
31,2호선,강변역,서울특별시,광진구,구의동,강변역로,36.5,화장품,"17,456,040",33862924.0
32,5호선,개롱역,서울특별시,송파구,오금동,오금로,40.0,편의점,"6,316,240",4964902.0
33,5호선,개화산역,서울특별시,강서구,방화동,양천로,30.0,편의점,"4,085,152",4235715.0
34,5호선,거여역,서울특별시,송파구,거여동,오금로,28.98,편의점,"4,559,758",4980407.0
35,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,22.8,의류잡화,"3,256,490",46757854.0
36,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,26.0,의류잡화,"3,728,354",46757854.0
37,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,32.0,식품제과,"4,588,744",46757854.0
38,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,23.42,의류잡화,"4,709,346",46757854.0
39,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,24.55,화장품,"5,208,714",46757854.0
40,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,29.68,카페,"6,243,818",46757854.0
41,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,36.0,의류잡화,"7,638,033",46757854.0
42,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,29.0,의류잡화,"7,795,782",46757854.0
43,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,30.0,화장품,"8,064,602",46757854.0
44,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,48.2,화장품,"10,226,478",46757854.0
45,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,36.04,의류잡화,"11,100,000",46757854.0
46,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,37.36,편의점,"11,116,490",46757854.0
47,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,867.64,소매업,"16,415,740",46757854.0
48,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,75.0,소매업,"21,308,277",46757854.0
49,7호선,건대입구역,서울특별시,광진구,화양동,아차산로,76.0,의료,"26,100,000",46757854.0
50,2호선,건대입구역,서울특별시,광진구,화양동,아차산로,29.5,의류잡화,"6,680,00",46757854.0
51,3호선,경복궁역,서울특별시,종로구,적선동,사직로,25.5,카페,"3,713,383",18712629.0
52,3호선,경찰병원역,서울특별시,송파구,가락동,중대로,37.4,식품제과,"518,300",5596289.0
53,3호선,경찰병원역,서울특별시,송파구,가락동,중대로,57.0,소매업,"1,120,000",5596289.0
54,5호선,고덕역,서울특별시,강동구,고덕동,고덕로,42.94,식품제과,"2,876,000",6959736.0
55,5호선,고덕역,서울특별시,강동구,고덕동,고덕로,28.62,편의점,"5,036,580",6959736.0
56,6호선,고려대역,서울특별시,성북구,종암동,종암로,25.0,카페,"2,014,601",6934825.0
57,6호선,고려대역,서울특별시,성북구,종암동,종암로,37.0,화장품,"2,981,609",6934825.0
58,6호선,고려대역,서울특별시,성북구,종암동,종암로,63.0,의류잡화,"5,076,794",6934825.0
59,6호선,고려대역,서울특별시,성북구,종암동,종암로,38.39,화장품,"7,571,147",6934825.0
60,6호선,고려대역,서울특별시,성북구,종암동,종암로,35.0,편의점,"10,602,944",6934825.0
61,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,13.67,의류잡화,"2,374,190",58550036.0
62,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,20.45,식품제과,"3,551,733",58550036.0
63,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,360.0,사무실,"3,949,782",58550036.0
64,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,44.0,식품제과,"4,391,210",58550036.0
65,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,47.0,의류잡화,"5,229,593",58550036.0
66,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,48.0,의류잡화,"5,340,861",58550036.0
67,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,556.0,사무실,"6,100,218",58550036.0
68,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,71.53,식품제과,"7,470,141",58550036.0
69,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,61.37,의류잡화,"10,658,673",58550036.0
70,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,16.0,카페,"11,540,880",58550036.0
71,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,33.75,의류잡화,"12,669,100",58550036.0
72,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,60.27,편의점,"17,542,140",58550036.0
73,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,106.63,의류잡화,"18,519,380",58550036.0
74,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,28.8,화장품,"31,563,813",58550036.0
75,7호선,고속터미널역,서울특별시,서초구,반포동,신반포로,123.69,소매업,"145,000,000",58550036.0
76,3호선,고속터미널역,서울특별시,서초구,반포동,신반포로,7475.19,의류잡화,"279,648,140",58550036.0
77,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,13.6,소매업,"865,728",23193457.0
78,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,소매업,"1,270,000",23193457.0
79,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,소매업,"1,350,000",23193457.0
80,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,28.5,소매업,"1,586,667",23193457.0
81,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,37.0,소매업,"1,654,000",23193457.0
82,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,28.6,의류잡화,"2,056,481",23193457.0
83,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,28.7,의류잡화,"2,063,667",23193457.0
84,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,26.0,식품제과,"2,255,664",23193457.0
85,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,26.0,식품제과,"2,255,664",23193457.0
86,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,식품제과,"2,400,164",23193457.0
87,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,소매업,"3,152,770",23193457.0
88,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,41.58,의류잡화,"3,511,500",23193457.0
89,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,48.0,의류잡화,"3,600,246",23193457.0
90,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,22.0,식당,"3,817,278",23193457.0
91,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,33.71,소매업,"4,257,000",23193457.0
92,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,28.2,의류잡화,"4,366,121",23193457.0
93,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,60.0,의류잡화,"4,500,308",23193457.0
94,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,30.0,의류잡화,"4,810,580",23193457.0
95,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,66.0,소매업,"4,950,339",23193457.0
96,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,27.0,의류잡화,"5,120,000",23193457.0
97,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,의류잡화,"5,131,210",23193457.0
98,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.0,의류잡화,"5,131,210",23193457.0
99,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,32.2,의류잡화,"5,163,273",23193457.0
100,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,30.0,화장품,"5,205,379",23193457.0
101,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,34.9,편의점,"7,008,188",23193457.0
102,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,36.0,의류잡화,"7,269,700",23193457.0
103,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,47.3,의류잡화,"7,453,288",23193457.0
104,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,24.0,화장품,"7,500,000",23193457.0
105,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,48.5,의류잡화,"7,642,349",23193457.0
106,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,37.0,의류잡화,"8,022,000",23193457.0
107,5호선,공덕역,서울특별시,마포구,공덕동,마포대로,70.3,의류잡화,"10,109,706",23193457.0
108,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,112.0,의류잡화,"10,835,534",23193457.0
109,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,165.0,식품제과,"15,963,063",23193457.0
110,6호선,공덕역,서울특별시,마포구,공덕동,마포대로,39.4,편의점,"17,509,209",23193457.0
111,7호선,공릉역,서울특별시,노원구,공릉동,동일로,30.0,의류잡화,"2,305,943",9447024.0
112,7호선,공릉역,서울특별시,노원구,공릉동,동일로,40.0,화장품,"3,074,591",9447024.0
113,7호선,공릉역,서울특별시,노원구,공릉동,동일로,50.0,식품제과,"3,843,238",9447024.0
114,7호선,공릉역,서울특별시,노원구,공릉동,동일로,28.91,편의점,"6,716,380",9447024.0
115,7호선,공릉역,서울특별시,노원구,공릉동,동일로,29.42,화장품,"9,509,157",9447024.0
116,5호선,광나루역,서울특별시,광진구,광장동,아차산로,17.86,의류잡화,"2,150,000",10054460.0
117,5호선,광나루역,서울특별시,광진구,광장동,아차산로,53.26,의류잡화,"3,726,868",10054460.0
118,5호선,광나루역,서울특별시,광진구,광장동,아차산로,62.2,식품제과,"4,585,000",10054460.0
119,5호선,광나루역,서울특별시,광진구,광장동,아차산로,45.0,편의점,"8,972,033",10054460.0
120,7호선,광명사거리역,경기도,광명시,광명동,오리로,13.0,의류잡화,"1,960,878",19314567.0
121,7호선,광명사거리역,경기도,광명시,광명동,오리로,41.0,화장품,"4,439,147",19314567.0
122,7호선,광명사거리역,경기도,광명시,광명동,오리로,44.0,식당,"4,763,962",19314567.0
123,7호선,광명사거리역,경기도,광명시,광명동,오리로,45.74,식품제과,"6,072,000",19314567.0
124,7호선,광명사거리역,경기도,광명시,광명동,오리로,40.0,화장품,"6,806,251",19314567.0
125,7호선,광명사거리역,경기도,광명시,광명동,오리로,40.0,의류잡화,"6,806,251",19314567.0
126,7호선,광명사거리역,경기도,광명시,광명동,오리로,37.0,의류잡화,"6,846,233",19314567.0
127,7호선,광명사거리역,경기도,광명시,광명동,오리로,34.27,편의점,"10,894,400",19314567.0
128,5호선,광화문역,서울특별시,종로구,도염동,세종대로,10.0,의류잡화,"1,236,200",26331043.0
